[2026-06-20T19:25:50.935565] Company: ABB, Year: 2012-12, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.955563] Company: ABB, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.980805] Company: ABB, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.164874] Company: ADANIENSOL, Year: 2014-03, Metric: npm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.165869] Company: ADANIENSOL, Year: 2014-03, Metric: opm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.166773] Company: ADANIENSOL, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.167829] Company: ADANIENSOL, Year: 2014-03, Metric: asset_turnover, Issue: Division by zero (total_assets=0)
[2026-06-20T19:25:52.230777] Company: ADANIPOWER, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2275, end=10727)
[2026-06-20T19:25:52.233777] Company: ADANIPOWER, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-2103, end=10727)
[2026-06-20T19:25:52.236308] Company: ADANIPOWER, Year: 2023-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-2295, end=10727)
[2026-06-20T19:25:52.238749] Company: ADANIPOWER, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-6.0, end=28.0)
[2026-06-20T19:25:52.242425] Company: ADANIPOWER, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-5.0, end=28.0)
[2026-06-20T19:25:52.246428] Company: ADANIPOWER, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-10.0, end=28.0)
[2026-06-20T19:25:52.261528] Company: ADANIPOWER, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-984, end=20829)
[2026-06-20T19:25:52.263543] Company: ADANIPOWER, Year: 2024-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-291, end=20829)
[2026-06-20T19:25:52.267536] Company: ADANIPOWER, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=54.0)
[2026-06-20T19:25:52.270436] Company: ADANIPOWER, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=54.0)
[2026-06-20T19:25:53.685160] Company: BAJAJHLDNG, Year: 2013-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.702716] Company: BAJAJHLDNG, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.719832] Company: BAJAJHLDNG, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.736183] Company: BAJAJHLDNG, Year: 2016-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.753188] Company: BAJAJHLDNG, Year: 2017-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.770307] Company: BAJAJHLDNG, Year: 2018-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:53.788741] Company: BAJAJHLDNG, Year: 2019-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:54.134009] Company: BANKBARODA, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4829, end=-5033)
[2026-06-20T19:25:54.138812] Company: BANKBARODA, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=23.0, end=-22.0)
[2026-06-20T19:25:54.181086] Company: BANKBARODA, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3950, end=-1836)
[2026-06-20T19:25:54.184086] Company: BANKBARODA, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4829, end=-1836)
[2026-06-20T19:25:54.188549] Company: BANKBARODA, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=18.0, end=-7.0)
[2026-06-20T19:25:54.191544] Company: BANKBARODA, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=23.0, end=-7.0)
[2026-06-20T19:25:54.209103] Company: BANKBARODA, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-5033, end=1166)
[2026-06-20T19:25:54.214632] Company: BANKBARODA, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-22.0, end=4.0)
[2026-06-20T19:25:54.250019] Company: BANKBARODA, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1836, end=1620)
[2026-06-20T19:25:54.252922] Company: BANKBARODA, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-5033, end=1620)
[2026-06-20T19:25:54.260427] Company: BANKBARODA, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-7.0, end=3.0)
[2026-06-20T19:25:54.264453] Company: BANKBARODA, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-22.0, end=3.0)
[2026-06-20T19:25:54.304019] Company: BANKBARODA, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1836, end=15005)
[2026-06-20T19:25:54.314154] Company: BANKBARODA, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-7.0, end=29.0)
[2026-06-20T19:25:54.687580] Company: BHARTIARTL, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4241, end=-30664)
[2026-06-20T19:25:54.691490] Company: BHARTIARTL, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=5048, end=-30664)
[2026-06-20T19:25:54.695590] Company: BHARTIARTL, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=7.0, end=-55.0)
[2026-06-20T19:25:54.698599] Company: BHARTIARTL, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=8.0, end=-55.0)
[2026-06-20T19:25:54.711580] Company: BHARTIARTL, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2184, end=-12364)
[2026-06-20T19:25:54.715602] Company: BHARTIARTL, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=6893, end=-12364)
[2026-06-20T19:25:54.719842] Company: BHARTIARTL, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2.0, end=-26.0)
[2026-06-20T19:25:54.721841] Company: BHARTIARTL, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=11.0, end=-26.0)
[2026-06-20T19:25:54.753793] Company: BHARTIARTL, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-30664, end=12287)
[2026-06-20T19:25:54.759692] Company: BHARTIARTL, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-55.0, end=15.0)
[2026-06-20T19:25:54.772900] Company: BHARTIARTL, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-12364, end=8558)
[2026-06-20T19:25:54.779852] Company: BHARTIARTL, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-26.0, end=13.0)
[2026-06-20T19:25:54.857913] Company: BHEL, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=6693, end=-706)
[2026-06-20T19:25:54.863125] Company: BHEL, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=18.0, end=-2.0)
[2026-06-20T19:25:54.908230] Company: BHEL, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-706, end=1002)
[2026-06-20T19:25:54.914419] Company: BHEL, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2.0, end=3.0)
[2026-06-20T19:25:54.928058] Company: BHEL, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=455, end=-1468)
[2026-06-20T19:25:54.931182] Company: BHEL, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1450, end=-1468)
[2026-06-20T19:25:54.934767] Company: BHEL, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1.0, end=-4.0)
[2026-06-20T19:25:54.937870] Company: BHEL, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4.0, end=-4.0)
[2026-06-20T19:25:54.950879] Company: BHEL, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=438, end=-2700)
[2026-06-20T19:25:54.952833] Company: BHEL, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-706, end=-2700)
[2026-06-20T19:25:54.956876] Company: BHEL, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1.0, end=-8.0)
[2026-06-20T19:25:54.959880] Company: BHEL, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-2.0, end=-8.0)
[2026-06-20T19:25:54.988244] Company: BHEL, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1468, end=654)
[2026-06-20T19:25:54.995254] Company: BHEL, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-4.0, end=2.0)
[2026-06-20T19:25:55.010149] Company: BHEL, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2700, end=282)
[2026-06-20T19:25:55.016169] Company: BHEL, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-8.0, end=1.0)
[2026-06-20T19:25:55.053866] Company: BOSCHLTD, Year: 2013-12, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:55.748049] Company: CANBK, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2995, end=-2535)
[2026-06-20T19:25:55.753182] Company: CANBK, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=12.0, end=-9.0)
[2026-06-20T19:25:55.782529] Company: CANBK, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2931, end=-3873)
[2026-06-20T19:25:55.785537] Company: CANBK, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2995, end=-3873)
[2026-06-20T19:25:55.788536] Company: CANBK, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=11.0, end=-11.0)
[2026-06-20T19:25:55.792313] Company: CANBK, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=12.0, end=-11.0)
[2026-06-20T19:25:55.803413] Company: CANBK, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2535, end=696)
[2026-06-20T19:25:55.809844] Company: CANBK, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-9.0, end=2.0)
[2026-06-20T19:25:55.823866] Company: CANBK, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1411, end=-1921)
[2026-06-20T19:25:55.827373] Company: CANBK, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2931, end=-1921)
[2026-06-20T19:25:55.831483] Company: CANBK, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=5.0, end=-4.0)
[2026-06-20T19:25:55.834481] Company: CANBK, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=11.0, end=-4.0)
[2026-06-20T19:25:55.847482] Company: CANBK, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3873, end=2957)
[2026-06-20T19:25:55.850478] Company: CANBK, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-2535, end=2957)
[2026-06-20T19:25:55.854393] Company: CANBK, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-11.0, end=4.0)
[2026-06-20T19:25:55.857389] Company: CANBK, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-9.0, end=4.0)
[2026-06-20T19:25:55.886440] Company: CANBK, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1921, end=11345)
[2026-06-20T19:25:55.889349] Company: CANBK, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3873, end=11345)
[2026-06-20T19:25:55.894351] Company: CANBK, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-4.0, end=12.0)
[2026-06-20T19:25:55.897351] Company: CANBK, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-11.0, end=12.0)
[2026-06-20T19:25:55.959990] Company: CHOLAFIN, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:56.006912] Company: CHOLAFIN, Year: 2018-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:56.037591] Company: CHOLAFIN, Year: 2020-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:57.150072] Company: DLF, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=708, end=-590)
[2026-06-20T19:25:57.151977] Company: DLF, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=507, end=-590)
[2026-06-20T19:25:57.155979] Company: DLF, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4.0, end=-2.0)
[2026-06-20T19:25:57.158975] Company: DLF, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3.0, end=-2.0)
[2026-06-20T19:25:57.204396] Company: DLF, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-590, end=2034)
[2026-06-20T19:25:57.210396] Company: DLF, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2.0, end=8.0)
[2026-06-20T19:25:58.287787] Company: GODREJCP, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1721, end=-561)
[2026-06-20T19:25:58.289787] Company: GODREJCP, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2342, end=-561)
[2026-06-20T19:25:58.293795] Company: GODREJCP, Year: 2024-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=819, end=-561)
[2026-06-20T19:25:58.295781] Company: GODREJCP, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=17.0, end=-5.0)
[2026-06-20T19:25:58.298779] Company: GODREJCP, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=23.0, end=-5.0)
[2026-06-20T19:25:58.300792] Company: GODREJCP, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=7.0, end=-5.0)
[2026-06-20T19:25:59.855734] Company: HINDALCO, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3007, end=-702)
[2026-06-20T19:25:59.862358] Company: HINDALCO, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=16.0, end=-1.0)
[2026-06-20T19:25:59.915567] Company: HINDALCO, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-702, end=5495)
[2026-06-20T19:25:59.921565] Company: HINDALCO, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=24.0)
[2026-06-20T19:25:59.956312] Company: HINDALCO, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-702, end=3483)
[2026-06-20T19:25:59.963366] Company: HINDALCO, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=16.0)
[2026-06-20T19:26:00.520089] Company: ICICIGI, Year: 2016-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:00.738742] Company: ICICIPRULI, Year: 2016-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.005049] Company: INDIGO, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1659, end=-248)
[2026-06-20T19:26:01.009055] Company: INDIGO, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1304, end=-248)
